sample population group sex
AZ495 CN_LRN CN_LRN 1
AZ496 CN_LRN CN_LRN 1
AZ497 CN_LRN CN_LRN 1
AZ500 CN_LRN CN_LRN 1
AZ503 CN_LRN CN_LRN 1
AZ513 CN_LRS CN_LRS 1
AZ517 CN_LRS CN_LRS 1
AZ520 CN_LRS CN_LRS 1
AZ521 CN_LRS CN_LRS 1
AZ536 CN_LRN CN_LRN 1
AZ550 CN_LRN CN_LRN 1
AZ552 CN_LRN CN_LRN 1
AZ554 CN_LRN CN_LRN 1
AZ555 CN_LRN CN_LRN 1
AZ563 CN_LRN CN_LRN 1
AZ569 CN_LRS CN_LRS 1
AZ571 CN_LRS CN_LRS 1
AZ588 SOUTH_WL1 SOUTH_WL1 1
AZ595 SOUTH_WL1 SOUTH_WL1 1
AZ603 JP_WL JP_WL 1
AZ604 JP_WL JP_WL 1
AZ605 JP_WL JP_WL 1
AZ606 JP_WL JP_WL 1
AZ607 JP_WL JP_WL 1
AZ608 JP_WL JP_WL 1
AZ609 JP_WL JP_WL 1
AZ610 JP_WL JP_WL 1
AZ611 JP_WL JP_WL 1
AZ612 SOUTH_WL1 SOUTH_WL1 1
AZ613 JP_LR JP_LR 1
AZ614 JP_WL JP_WL 1
AZ615 JP_WL JP_WL 1
AZ617 JP_WL JP_WL 1
AZ618 JP_WL JP_WL 1
AZ621 JP_WL JP_WL 1
AZ622 SOUTH_WL1 SOUTH_WL1 1
AZ623 SOUTH_WL1 SOUTH_WL1 1
AZ624 JP_WL JP_WL 1
AZ631 SOUTH_WL2 SOUTH_WL2 1
AZ632 SOUTH_WL2 SOUTH_WL2 1
AZ633 SOUTH_WL1 SOUTH_WL1 1
AZ635 SOUTH_WL2 SOUTH_WL2 1
AZ636 SOUTH_WL2 SOUTH_WL2 1
AZ637 SOUTH_WL2 SOUTH_WL2 1
AZ638 SOUTH_WL2 SOUTH_WL2 1
AZ639 SOUTH_WL1 SOUTH_WL1 1
AZ640 SOUTH_WL2 SOUTH_WL2 1
AZ641 SOUTH_WL2 SOUTH_WL2 1
AZ642 SOUTH_WL2 SOUTH_WL2 1
AZ646 CN_WL CN_WL 1
AZ647 JP_LR JP_LR 1
AZ648 JP_LR JP_LR 1
AZ649 JP_LR JP_LR 1
AZ650 JP_LR JP_LR 1
AZ651 JP_LR JP_LR 1
AZ652 JP_LR JP_LR 1
AZ653 JP_LR JP_LR 1
AZ657 JP_LR JP_LR 1
AZ659 CN_WL CN_WL 1
AZ660 CN_WL CN_WL 1
AZ661 CN_WL CN_WL 1
AZ663 CN_WL CN_WL 1
AZ664 CN_WL CN_WL 1
AZ665 CN_LRN CN_LRN 1
AZ666 CN_LRN CN_LRN 1
AZ667 CN_LRN CN_LRN 1
AZ668 CN_LRN CN_LRN 1
AZ670 CN_LRN CN_LRN 1
AZ671 CN_LRN CN_LRN 1
AZ672 CN_LRN CN_LRN 1
AZ673 CN_LRN CN_LRN 1
AZ674 CN_LRN CN_LRN 1
AZ675 CN_LRN CN_LRN 1
AZ676 CN_LRN CN_LRN 1
AZ677 CN_LRN CN_LRN 1
AZ678 CN_LRN CN_LRN 1
AZ679 JP_LR JP_LR 1
AZ680 JP_LR JP_LR 1
AZ681 JP_LR JP_LR 1
AZ682 JP_LR JP_LR 1
AZ684 CN_LRN CN_LRN 1
AZ685 JP_LR JP_LR 1
AZ690 JP_LR JP_LR 1
AZ691 JP_LR JP_LR 1
AZ694 CN_WL CN_WL 1
AZ695 CN_WL CN_WL 1
AZ697 CN_WL CN_WL 1
AZ699 CN_LRS CN_LRS 1
AZ700 CN_LRS CN_LRS 1
AZ701 CN_LRS CN_LRS 1
AZ702 CN_LRS CN_LRS 1
AZ703 SOUTH_WL2 SOUTH_WL2 1
AZ705 SOUTH_WL1 SOUTH_WL1 1
SRR2177462 CN_WL CN_WL 1
SRR2177463 CN_WL CN_WL 1
SRR2177464 CN_WL CN_WL 1
SRR2177465 CN_WL CN_WL 1
SRR2177467 CN_WL CN_WL 1
SRR2177503 CN_WL CN_WL 1
SRR2177505 CN_WL CN_WL 1
SRR2177507 CN_WL CN_WL 1
